District Number,District,School,Address,Latitude,Longitude,Test-takers: 2012,Test-takers: 2013,Test-takers: Change%,Participation Rate (estimate): 2012,Participation Rate (estimate): 2013,Participation Rate (estimate): Change%,Percent Meeting Benchmark: 2012,Percent Meeting Benchmark: 2013,Percent Meeting Benchmark: Change%
26111,Ansonia,Ansonia High School,"Ansonia High School, CT",41.3268268,-73.0656051,118,104,-0.12,0.67,0.61,-0.06,0.18,0.18,0.00
46111,Avon,Avon High School,"Avon High School, CT",41.7834386,-72.8621958,254,243,-0.04,0.90,0.89,-0.01,0.73,0.75,0.02
76111,Berlin,Berlin High School,"Berlin High School, CT",41.6215191,-72.7527695,216,220,0.02,0.81,0.82,0.01,0.42,0.49,0.07
96111,Bethel,Bethel High School,"Bethel High School, CT",41.3782134,-73.3938593,200,190,-0.05,0.86,0.82,-0.04,0.51,0.49,-0.02
116111,Bloomfield,Bloomfield High School,"Bloomfield High School, CT",41.8278753,-72.7260467,116,130,0.12,0.79,0.89,0.10,0.11,0.08,-0.03
116211,Bloomfield,Big Picture High School,"Big Picture High School, CT",41.8683419,-72.7363637,14,30,1.14,1.00,1.00,0.00,0.07,0.07,0.00
126111,Bolton,Bolton High School,"Bolton High School, CT",41.7604488,-72.4216536,62,70,0.13,0.85,0.96,0.11,0.55,0.57,0.02
146111,Branford,Branford High School,"Branford High School, CT",41.2876455,-72.8014264,196,213,0.09,0.77,0.84,0.07,0.47,0.44,-0.03
156111,Bridgeport,Bassick High School,"Bassick High School, CT",41.1732849,-73.2071821,105,122,0.16,0.52,0.60,0.08,0.03,0.05,0.02
156211,Bridgeport,Central Magnet High School,"Central Magnet High School, CT",41.189012,-73.2063888,346,305,-0.12,0.78,0.69,-0.09,0.14,0.14,0.00
156311,Bridgeport,Warren Harding High School,"Warren Harding High School, CT",41.1909916,-73.1669846,155,113,-0.27,0.42,0.30,-0.12,0.05,0.03,-0.02
176111,Bristol,Bristol Center High School,"Bristol Center High School, CT",41.6612449,-72.9607174,210,200,-0.05,0.68,0.65,-0.03,0.47,0.41,-0.06
176211,Bristol,Bristol Eastern High School,"Bristol Eastern High School, CT",41.6859286,-72.9220947,212,190,-0.10,0.70,0.62,-0.08,0.42,0.35,-0.07
186111,Brookfield,Brookfield High School,"Brookfield High School, CT",41.4785235,-73.3910219,227,219,-0.04,0.90,0.87,-0.03,0.57,0.59,0.02
236111,Canton,Canton High School,"Canton High School, CT",41.8263299,-72.9166189,106,96,-0.09,0.89,0.81,-0.08,0.75,0.66,-0.09
256111,Cheshire,Cheshire High School,"Cheshire High School, CT",41.4901527,-72.9070268,367,326,-0.11,0.91,0.80,-0.11,0.61,0.67,0.06
276111,Clinton,The Morgan School,"The Morgan School, CT",41.3001491,-72.5326394,86,104,0.21,0.69,0.83,0.14,0.49,0.45,-0.04
286111,Colchester,Bacon Academy,"Bacon Academy, CT",41.5768416,-72.3022522,200,194,-0.03,0.77,0.75,-0.02,0.46,0.41,-0.05
326111,Coventry,Coventry High School,"Coventry High School, CT",41.782122,-72.3121622,81,90,0.11,0.53,0.59,0.06,0.49,0.49,0.00
336111,Cromwell,Cromwell High School,"Cromwell High School, CT",41.6149599,-72.6600495,106,105,-0.01,0.76,0.76,0.00,0.52,0.45,-0.07
346111,Danbury,Danbury High School,"Danbury High School, CT",41.4164699,-73.4703176,447,470,0.05,0.68,0.71,0.03,0.34,0.34,0.00
346211,Danbury,Alternative Center for Excellence,"Alternative Center for Excellence, CT",41.4014741,-73.4413943,7,*,*,0.37,0.21,-0.16,0.14,0.25,0.11
356111,Darien,Darien High School,"Darien High School, CT",41.0856753,-73.4911221,295,307,0.04,0.95,0.99,0.04,0.80,0.86,0.06
376111,Derby,Derby High School,"Derby High School, CT",41.3336597,-73.0979851,59,46,-0.22,0.66,0.51,-0.15,0.27,0.15,-0.12
406111,East Granby,East Granby High School,"East Granby High School, CT",41.9329394,-72.7280786,45,51,0.13,0.73,0.82,0.09,0.67,0.57,-0.10
416111,East Haddam,Nathan Hale-Ray High School,"Nathan Hale-Ray High School, CT",41.493323,-72.443648,78,72,-0.08,0.84,0.77,-0.07,0.44,0.54,0.10
426111,East Hampton,East Hampton High School,"East Hampton High School, CT",41.5823931,-72.513467,120,102,-0.15,0.77,0.65,-0.12,0.55,0.61,0.06
436211,East Hartford,East Hartford High School,"East Hartford High School, CT",41.7547461,-72.6049089,262,256,-0.02,0.70,0.69,-0.01,0.17,0.15,-0.02
