,,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,text1,text2,text3,text4,text5,text6,text7,text8,text9,text10,text11,text12,text13,text14,text15,text16,text17,text18,text19,text20,text21,text22,text23,text24,text25,text26,text27,text28,text29,text30,text31,text32,text33,text34,text35,text36,text37,text38,text39,text40,text41,text42,text43,text44,text45,text46,text47,text48,text49,text50,text51,text52,text53,text54,text55,text56,text57,text58,text59,text60,text61,text62,text63,text64,text65,text66,text67,text68,text69,text70,text71,text72,text73,text74,text75,text76,text77,text78,text79,text80,text81,text82,text83,text84,text85,text86,text87,text88,text89,text90,text91,text92,text93,text94,text95,text96,text97,text98,text99,text100,text101,text102,text103,text104,text105,text106,text107,text108,text109,text110,text111,text112,text113,text114
1,,FALSE,0,NA,28/9/2018 3:49,TRUE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RobbieSherwood,0,FALSE,FALSE,NA,NA,This,is,all,going,to,come,down,to,@JeffFlake,tomorrow.,Expecting,him,to,do,the,right,thing,is,probably,too,much,to<U+2026>,https://t.co/kIACJOUosC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CLW_Nola,6681,TRUE,FALSE,NA,NA,RT,@RealRonHaines:,Fox,News,Poll:,Record,number,of,voters,oppose,Kavanaugh,nomination.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KarenFranzi,12,TRUE,FALSE,NA,NA,RT,@chaplinlives:,I'm,still,stunned,by,what,a,whiny,prick,#Kavanaugh,is.,I'm,sick,of,these,fucking,soft,entitled,rich,prick,insecure,whi<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",niracc,16,TRUE,FALSE,NA,NA,RT,@EricKipnis1:,Conservative,columnist:,#Kavanaugh,is,far,too,partisan,angry,to,be,on,#SupremeCourt,https://t.co/lGAWb2kV9K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JJGreene03,5,TRUE,FALSE,NA,NA,RT,@AshantiGholar:,This,is,another,reason,why,#RepresentationMatters.,Imagine,how,different,the,#Kavanaugh,hearings,would,have,been,with,mo<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Americans4Ever,202,TRUE,FALSE,NA,NA,RT,@edhenry:,New,from,Mark,Judge,#kavanaugh,https://t.co/kt5x0t90X8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,FALSE,0,NA,28/9/2018 3:49,TRUE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mcampbellss,0,FALSE,FALSE,NA,NA,#Kavanaugh,is,a,back,and,forth,he,said,she,said.,But,still,no,action,by,@GOP,or,#Trump,to,investigate,and,find,the<U+2026>,https://t.co/YmyuwbKMtF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AdamRhoades13,149,TRUE,FALSE,NA,NA,RT,@BasedBasterd:,Do,your,civic,duty,&amp,what,we,voted,you,in,office,to,do,...<U+0001F447><U+0001F3FC>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",LightOnIt1,0,FALSE,FALSE,NA,NA,Which,Senator,on,the,#JudiciaryCommittee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",DMish13,1359,TRUE,FALSE,NA,NA,RT,@larryelder:,Why,don't,democrats,just,come,out,and,say,it?,There,is,a,war,on,"privileged,",white,conservative,males,who,democrats,beli<U+2026>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",HistoryInACan,3,TRUE,FALSE,NA,NA,RT,@QuitcherBitchyn:,These,senators,will,decide,judge,#Kavanaugh,'s,fate.,@SenatorCollins,@lisamurkowski,@JeffFlake,Be,in,touch,with,them.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MAGA4Patriots,298,TRUE,FALSE,NA,NA,RT,@darhar981:,<U+0001F4E3>#LindseyGraham,Explodes,On,#SenateCommittee,Over,#Kavanaugh,Process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,FALSE,0,NA,28/9/2018 3:49,FALSE,NA,1.04552E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",staines_andyjoy,2677,TRUE,FALSE,NA,NA,RT,@JessieJaneDuff:,Never,compare,#ChristineBlaseyFord,to,a,U.S.,Marine.,Let,me,introduce,myself,and,I'll,show,you,TRUE,bravery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
